group,words,count
immersion,"immersion, immersive, immerse, absorb, absorption, absorbing, engage, engagement, engaging, engross, engrossing, captivate, captivating, envelop, enveloping, sensory, experiential, experience, experiences, lived, embodied",21
identity,"identity, self, selfhood, persona, character, individuality, personal, personhood, ego, sense of self, self-concept, self-image, self-understanding, reinforce, reinforcement, reaffirm",16
reflection,"reflection, reflect, reflective, contemplate, contemplation, contemplative, introspect, introspection, introspective, ponder, meditate, meditation, meditative, thoughtful, meaning, meaningful, significance",17
connection,"connection, connect, connected, connecting, bond, bonding, relationship, relate, relating, relational, attachment, tie, ties, linked, linkage",15
community,"community, communal, collective, together, togetherness, belonging, fellowship, camaraderie, solidarity, shared, sharing, social, sociality",13
nature,"nature, natural, wilderness, wild, outdoors, outdoor, environment, environmental, ecology, ecological, landscape, scenery, scenic, flora, fauna",15
transformation,"transformation, transform, transformative, change, changing, changed, shift, shifting, convert, conversion, evolve, evolution, growth, growing, renewal, renew, metamorphosis",17
authenticity,"authenticity, authentic, genuine, real, true, truthful, honest, sincerity, sincere, original, originality, unfiltered, raw",13
escape,"escape, escapism, retreat, getaway, detach, detachment, disconnect, disconnection, break, respite, refuge, sanctuary, haven",13
place,"place, locale, locality, location, site, destination, setting, space, spatial, territory, terrain, region, area",13
culture,"culture, cultural, heritage, tradition, traditional, customs, ritual, rituals, indigenous, native, ethnic, ethnicity, folklore",13
emotion,"emotion, emotional, feeling, feelings, affect, affective, sentiment, mood, passion, passionate, joy, joyful, awe, wonder",14
learning,"learning, learn, education, educational, educate, knowledge, knowing, understand, understanding, discover, discovery, insight, insightful, awareness, aware",15
wellbeing,"wellbeing, well-being, wellness, health, healthy, healing, therapeutic, therapy, restoration, restorative, rejuvenate, rejuvenation, vitality, wholeness",14
memory,"memory, memories, remember, remembrance, recall, recollection, nostalgia, nostalgic, reminisce, reminiscence, souvenir, memento, keepsake",13
motivation,"motivation, motivate, motivated, motive, drive, driven, inspire, inspiration, aspire, aspiration, desire, ambition, purpose, purposeful",14
challenge,"challenge, challenging, difficult, difficulty, adversity, obstacle, overcome, overcoming, struggle, endure, endurance, resilience, resilient, grit, persevere",15
freedom,"freedom, free, liberation, liberate, autonomy, autonomous, independence, independent, spontaneous, spontaneity, unbound, unconstrained, emancipation",13
spirituality,"spirituality, spiritual, sacred, divine, transcend, transcendence, transcendent, soul, soulful, holy, mystical, numinous, pilgrimage",13
sustainability,"sustainability, sustainable, conservation, conserve, preserve, preservation, steward, stewardship, responsible, responsibility, ethical, eco, green",13
power,"power, powerful, empower, empowerment, agency, authority, control, dominance, dominant, influence, influential, privilege, hierarchy, hegemony",14
political,"political, politics, policy, governance, govern, government, ideology, ideological, activism, activist, resistance, protest, justice, injustice, colonial, colonialism, postcolonial, neoliberal, neoliberalism, capitalism",20
commodification,"commodification, commodify, commercialize, commercialization, commercial, market, marketing, consume, consumption, consumer, consumerism, exploit, exploitation, brand, branding",15
ontological,"ontological, ontology, being, existence, existential, phenomenological, phenomenology, hermeneutic, hermeneutics, epistemological, epistemology",11
narrative,"narrative, story, storytelling, tale, account, chronicle, discourse, discursive, voice, voices, testimony, testimonial",12
embodiment,"embodiment, embody, embodied, corporeal, bodily, body, physical, physicality, somatic, kinesthetic, tactile, sensuous",12
liminality,"liminality, liminal, threshold, transition, transitional, between, betwixt, boundary, border, margin, marginal, passage",12
gaze,"gaze, gazing, look, looking, observe, observation, spectacle, spectator, voyeur, voyeurism, surveillance, visibility, visual",13
performance,"performance, perform, performing, enact, enactment, staging, stage, display, exhibit, exhibition, demonstrate, demonstration, ritual",13
resistance,"resistance, resist, resisting, subvert, subversion, counter, counterculture, alternative, oppose, opposition, defy, defiance, rebel, rebellion",14
hospitality,"hospitality, host, hosting, guest, welcome, welcoming, accommodation, service, serve, serving, care, caring, generosity, generous",14
duration,"duration, time, temporal, temporality, pace, pacing, slow, slowness, fast, speed, moment, momentary, ephemeral, fleeting, lasting, permanence",16
awakening,"awakening, awaken, wake, waken, realize, realization, epiphany, revelation, enlighten, enlightenment, eye-opening, consciousness, conscious, awareness",14
