# generated 2026-04-15T17:54:59.342188
sheet,row,no,model,focus,scholar,prompt_text,output_raw,output_norm
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Hunt,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Carter A. Hunt (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Community Connection
Theme #2: Environmental Awareness
Theme #3: Personal Transformation","theme #1: community connection
theme #2: environmental awareness
theme #3: personal transformation"
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Pan,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Bing Pan (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Community Connection
Theme #2: Behavioral Transformation
Theme #3: Sustainable Engagement","theme #1: community connection
theme #2: behavioral transformation
theme #3: sustainable engagement"
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Mowen,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Andrew J. Mowen (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Experiential Connection
Theme #2: Environmental Stewardship
Theme #3: Personal Transformation","theme #1: experiential connection
theme #2: environmental stewardship
theme #3: personal transformation"
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Fletcher,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Robert Fletcher (Wageningen, University & Research).","Theme #1: Transformative Encounters
Theme #2: Community Integration
Theme #3: Environmental Ethos","theme #1: transformative encounters
theme #2: community integration
theme #3: environmental ethos"
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Escobar,Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Arturo Escobar (at the University of North Carolina).,"Theme #1: Relational Embodiment
Theme #2: Community Coexistence
Theme #3: Transformative Awareness","theme #1: relational embodiment
theme #2: community coexistence
theme #3: transformative awareness"
scholar,3,1,ChatGPT 5 (Auto),3 Themes,Crompton,Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. John L. Crompton (at Texas A&M University).,"Theme #1: Experiential Fulfillment
Theme #2: Community Connection
Theme #3: Value Realization","theme #1: experiential fulfillment
theme #2: community connection
theme #3: value realization"
scholar,4,2,ChatGPT 5  (Thinking+Study),3 Themes,Hunt,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Carter A. Hunt (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Community immersion
Theme #2: Environmental stewardship
Theme #3: Transformative learning","theme #1: community immersion
theme #2: environmental stewardship
theme #3: transformative learning"
scholar,4,2,ChatGPT 5  (Thinking+Study),3 Themes,Pan,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Bing Pan (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Environmental Stewardship
Theme #2: Community Connection
Theme #3: Behavior Change","theme #1: environmental stewardship
theme #2: community connection
theme #3: behavior change"
scholar,4,2,ChatGPT 5  (Thinking+Study),3 Themes,Mowen,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Andrew J. Mowen (at Recreation, Park, and Tourism Management, Penn State University).","Theme #1: Community Engagement
Theme #2: Environmental Stewardship
Theme #3: Physical Activity","theme #1: community engagement
theme #2: environmental stewardship
theme #3: physical activity"
scholar,4,2,ChatGPT 5  (Thinking+Study),3 Themes,Fletcher,"Your task is to perform a thematic analysis across the uploaded transcripts. Identify exactly three primary themes that capture the most central ideas. Present each theme as two words only. Approach this analysis by simulating the perspective and scholarly lens of Dr. Robert Fletcher (Wageningen, University & Research).","Theme #1: Embodied Ecology
Theme #2: Community Embeddedness
Theme #3: Sustainability Praxis","theme #1: embodied ecology
theme #2: community embeddedness
theme #3: sustainability praxis"
