# generated 2026-04-15T21:55:00.247322+00:00 by REI_Analysis.ipynb § 17
scholar,rank,theme,frequency,total_themes,unique_themes
Crompton,1,Authentic Connection,2,12,10
Crompton,2,Environmental Awakening,2,12,10
Crompton,3,Authentic Community,1,12,10
Crompton,4,Community Connection,1,12,10
Crompton,5,Experiential Fulfillment,1,12,10
Crompton,6,Loyalty Formation,1,12,10
Crompton,7,Personal Transformation,1,12,10
Crompton,8,Stewardship Activation,1,12,10
Crompton,9,Transformative Learning,1,12,10
Crompton,10,Value Realization,1,12,10
Escobar,1,Community Coexistence,1,12,12
Escobar,2,Community Embeddedness,1,12,12
Escobar,3,Convivial Tools,1,12,12
Escobar,4,Development Apparatus,1,12,12
Escobar,5,Embodied Relationality,1,12,12
Escobar,6,Place-Based Knowledge,1,12,12
Escobar,7,Relational Embodiment,1,12,12
Escobar,8,Relational Living,1,12,12
Escobar,9,Relational Ontologies,1,12,12
Escobar,10,Territorial Embodiment,1,12,12
Escobar,11,Transformative Awareness,1,12,12
Escobar,12,Transformative Praxis,1,12,12
Fletcher,1,Transformative Encounters,2,12,11
Fletcher,2,Authentic Connection,1,12,11
Fletcher,3,Capitalist Contradictions,1,12,11
Fletcher,4,Community Embeddedness,1,12,11
Fletcher,5,Community Integration,1,12,11
Fletcher,6,Embodied Ecology,1,12,11
Fletcher,7,Environmental Awakening,1,12,11
Fletcher,8,Environmental Ethos,1,12,11
Fletcher,9,Sustainability Praxis,1,12,11
Fletcher,10,Sustainable Consumption,1,12,11
Fletcher,11,Transformative Experience,1,12,11
Hunt,1,Authentic Connection,1,12,12
Hunt,2,Community Connection,1,12,12
Hunt,3,Community immersion,1,12,12
Hunt,4,Environmental Awakening,1,12,12
Hunt,5,Environmental Awareness,1,12,12
Hunt,6,Environmental stewardship,1,12,12
Hunt,7,Identity Reinforcement,1,12,12
Hunt,8,Immersive Experiences,1,12,12
Hunt,9,Meaningful Reflection,1,12,12
Hunt,10,Personal Transformation,1,12,12
Hunt,11,Transformative Impact,1,12,12
Hunt,12,Transformative learning,1,12,12
Mowen,1,Environmental Consciousness,2,12,10
Mowen,2,Environmental Stewardship,2,12,10
Mowen,3,Community Connection,1,12,10
Mowen,4,Community Engagement,1,12,10
Mowen,5,Experiential Connection,1,12,10
Mowen,6,Personal Transformation,1,12,10
Mowen,7,Physical Activity,1,12,10
Mowen,8,Place Attachment,1,12,10
Mowen,9,Sustained Transformation,1,12,10
Mowen,10,Transformative Experience,1,12,10
Pan,1,Community Connection,2,12,11
Pan,2,Authentic Community,1,12,11
Pan,3,Behavior Change,1,12,11
Pan,4,Behavioral Commitment,1,12,11
Pan,5,Behavioral Transformation,1,12,11
Pan,6,Ecological Identity,1,12,11
Pan,7,Environmental Consciousness,1,12,11
Pan,8,Environmental Stewardship,1,12,11
Pan,9,Eudaimonic Awakening,1,12,11
Pan,10,Sustainable Engagement,1,12,11
Pan,11,Transformative Experience,1,12,11
